Wall time,Step,Value
1722201548.445222,179236,15.96879768371582
1722201548.521665,179260,42.903076171875
1722201573.7565725,185640,159.46176147460938
1722201573.8406835,185664,148.0846405029297
1722201598.5559747,192044,273.18096923828125
1722201598.6214657,192060,282.4906311035156
1722201626.7313867,198446,366.78424072265625
1722201626.7758086,198458,393.0143127441406
1722201655.493797,204848,456.20794677734375
1722201655.5528247,204862,463.57379150390625
1722201681.090172,211250,581.0626831054688
1722201681.1394162,211262,557.658935546875
1722201708.1743784,217654,623.664306640625
1722201708.208799,217664,615.4219360351562
1722201732.1784494,224056,716.5043334960938
1722201732.2129676,224066,723.3867797851562
1722201760.6014473,230456,830.556396484375
1722201760.6496186,230468,802.3616943359375
1722201785.1972964,236860,858.4904174804688
1722201785.2320087,236870,851.7696533203125
1722201813.9778783,243264,867.7283935546875
1722201814.0186052,243274,880.8640747070312
1722201837.051726,249666,1025.6689453125
1722201837.0932834,249678,984.5006103515625
1722201862.2860668,256068,1083.56201171875
1722201862.2980776,256070,1111.735107421875
1722201886.7389393,262470,1107.0255126953125
1722201886.7469552,262472,1146.2398681640625
1722201909.446662,268872,1123.70458984375
1722201909.4672945,268876,1069.2099609375
1722201935.643434,275274,1085.3719482421875
1722201935.663874,275280,1071.4351806640625
1722201960.0477078,281674,1121.387939453125
1722201960.0649781,281678,1147.0579833984375
1722201987.5159812,288076,1163.00048828125
1722201987.5413299,288080,1193.346923828125
1722202013.5629382,294478,1352.8272705078125
1722202013.5829227,294482,1335.2681884765625
1722202041.8929677,300882,1339.765625
1722202041.9022396,300884,1346.3167724609375
1722202067.274187,307280,1361.5391845703125
1722202067.2988133,307288,1364.38232421875
1722202091.8262198,313682,1296.7119140625
1722202091.8662963,313692,1292.80810546875
1722202117.6541495,320078,1305.521240234375
1722202117.7184088,320096,1336.9432373046875
1722202143.9342103,326482,1312.8211669921875
1722202144.0002272,326500,1307.968505859375
1722202169.0169003,332886,1400.620849609375
1722202169.0853631,332904,1394.445068359375
1722202192.7615302,339288,1455.6473388671875
1722202192.8281395,339308,1451.4219970703125
1722202216.9397779,345692,1513.9163818359375
1722202217.0100367,345710,1503.268310546875
1722202240.0479913,352096,1562.5384521484375
1722202240.0989506,352112,1554.472900390625
1722202264.1748295,358496,1552.51904296875
1722202264.2371783,358516,1559.0455322265625
1722202288.335076,364890,1608.616943359375
1722202288.4153106,364916,1608.3760986328125
1722202310.597561,371292,1569.3782958984375
1722202310.6830049,371318,1576.3939208984375
1722202333.9117131,377696,1602.1710205078125
1722202333.9899662,377720,1627.85107421875
1722202355.99706,384098,1699.7603759765625
1722202356.0718193,384122,1703.395751953125
1722202383.8001566,390502,1733.2232666015625
1722202383.870757,390524,1714.751953125
1722202409.4278338,396906,1705.3907470703125
1722202409.4886138,396924,1711.5023193359375
1722202434.867992,403308,1746.0396728515625
1722202434.9315794,403328,1742.36279296875
1722202462.4006598,409702,1709.54638671875
1722202462.4788399,409730,1717.0330810546875
1722202484.8182898,416104,1794.056640625
1722202484.8944976,416128,1794.5841064453125
1722202508.8612492,422500,1739.150390625
1722202508.9690416,422532,1772.5355224609375
1722202532.176476,428902,1733.779052734375
1722202532.2672486,428932,1751.1878662109375
1722202555.158043,435306,1784.7818603515625
1722202555.2440276,435334,1779.6610107421875
1722202576.6626914,441710,1833.4130859375
1722202576.7309892,441732,1821.859130859375
1722202600.947634,448112,1844.6573486328125
1722202601.0214913,448134,1844.4273681640625
1722202624.084736,454514,1844.6397705078125
1722202624.1480408,454534,1848.7144775390625
1722202648.0757043,460916,1873.4444580078125
1722202648.1393378,460936,1876.6268310546875
1722202672.2798576,467312,1890.7457275390625
1722202672.351193,467338,1908.23046875
1722202693.6534503,473716,1877.0155029296875
1722202693.7334151,473740,1879.5018310546875
1722202721.5070431,480110,1882.0540771484375
1722202721.6036592,480142,1877.5107421875
1722202743.7956069,486504,1866.065673828125
1722202743.8938975,486534,1875.2105712890625
1722202769.0931349,492906,1894.346923828125
1722202769.1911163,492936,1907.19482421875
1722202796.8594677,499300,1867.6087646484375
1722202796.9890964,499334,1867.384521484375
1722202824.8883643,505702,1812.3115234375
1722202825.012865,505738,1827.091064453125
1722202853.4219146,512104,1797.4261474609375
1722202853.5057378,512134,1793.1605224609375
1722202875.624058,518506,1698.165771484375
1722202875.7209327,518536,1720.4442138671875
1722202900.3422906,524908,1620.114501953125
1722202900.4977298,524938,1600.3072509765625
1722202925.9639285,531310,1546.3287353515625
1722202926.0627012,531340,1535.565673828125
1722202954.7208395,537710,1567.125732421875
1722202954.8523304,537744,1578.475341796875
1722202979.3228467,544108,1598.828369140625
1722202979.4585783,544148,1602.41015625
1722203007.5948732,550508,1656.46533203125
1722203007.7671723,550550,1638.5052490234375
1722203033.2673419,556910,1642.702880859375
1722203033.4223952,556954,1634.9949951171875
1722203066.4233272,563312,1648.4144287109375
1722203066.6037967,563350,1638.1844482421875
1722203090.413212,569714,1690.817138671875
1722203090.4951782,569740,1715.18798828125
1722203112.4258924,576116,1681.0361328125
1722203112.509664,576142,1679.0006103515625
1722203137.4121788,582516,1722.781982421875
1722203137.5147078,582546,1714.354248046875
1722203160.8733215,588920,1744.62158203125
1722203160.9537907,588940,1740.6083984375
1722203187.9455886,595322,1718.2877197265625
1722203187.9786608,595330,1728.4293212890625
1722203214.3504658,601724,1767.0166015625
1722203214.3524406,601724,1783.517578125
1722203241.2408855,608126,1777.7225341796875
1722203241.2429981,608126,1768.5328369140625
1722203268.4151666,614528,1775.2222900390625
1722203268.425635,614530,1795.3809814453125
1722203295.8220255,620920,1835.724365234375
1722203295.8660023,620930,1815.3773193359375
1722203323.2711143,627324,1821.992919921875
1722203323.299061,627332,1826.766357421875
1722203349.413764,633728,1864.683349609375
1722203349.4375215,633734,1871.239501953125
1722203375.3378966,640124,1901.044189453125
1722203375.3880045,640136,1890.3531494140625
1722203400.240342,646524,1880.1051025390625
1722203400.2865133,646538,1888.311279296875
1722203428.727415,652918,1911.2635498046875
1722203428.7989774,652940,1902.2435302734375
1722203452.1595416,659320,1916.210693359375
1722203452.2374132,659342,1920.3226318359375
1722203479.430325,665722,1907.2860107421875
1722203479.5100918,665746,1915.996337890625
1722203505.4186847,672124,1919.358154296875
1722203505.4927728,672148,1936.208740234375
1722203530.1125445,678526,1952.927734375
1722203530.2245553,678548,1951.55419921875
1722203557.6424341,684926,1977.8045654296875
1722203557.7277083,684950,1977.3980712890625
1722203582.8277323,691326,2022.338134765625
1722203582.9204206,691352,2015.983154296875
1722203609.5371249,697730,2037.023681640625
1722203609.6391807,697756,2029.7747802734375
1722203631.7929194,704134,2049.744140625
1722203631.878435,704158,2048.626953125
1722203654.6913514,710538,2062.893310546875
1722203654.7688174,710560,2051.67138671875
1722203679.9206285,716940,2096.838623046875
1722203679.9836493,716962,2095.7373046875
1722203704.3235977,723342,2133.19921875
1722203704.4054785,723364,2133.822998046875
1722203729.0432994,729744,2121.871826171875
1722203729.1202688,729766,2119.46923828125
1722203750.8625822,736146,2126.030517578125
1722203750.9360821,736168,2123.574951171875
1722203773.3780565,742548,2135.978759765625
1722203773.4558218,742570,2134.955810546875
1722203795.4635909,748950,2133.75634765625
1722203795.5430021,748974,2136.5537109375
1722203820.094492,755350,2123.153076171875
1722203820.1857285,755376,2117.351806640625
1722203842.1191533,761754,2134.98876953125
1722203842.2013648,761780,2128.27978515625
1722203865.6329653,768156,2094.3681640625
1722203865.729913,768182,2086.93603515625
1722203892.240447,774552,2067.010498046875
1722203892.3179066,774574,2061.68310546875
1722203917.004201,780956,2069.9755859375
1722203917.074862,780976,2059.41455078125
1722203943.9147847,787358,2033.5712890625
1722203943.9945948,787378,2033.6619873046875
1722203968.625607,793760,2029.9522705078125
1722203968.6979282,793780,2035.6219482421875
1722203995.6764536,800162,1997.2161865234375
1722203995.7528598,800182,2009.5355224609375
1722204020.5960226,806566,1963.817138671875
1722204020.6574929,806584,1964.0023193359375
1722204047.903182,812968,1934.8333740234375
1722204047.9647927,812980,1936.1746826171875
1722204075.558594,819370,1937.84033203125
1722204075.5973072,819380,1932.8311767578125
1722204098.8680243,825770,1877.0218505859375
1722204098.8797693,825772,1884.9095458984375
1722204124.6408553,832162,1884.9736328125
1722204124.660697,832168,1877.876708984375
1722204148.9568937,838562,1842.0745849609375
1722204148.9969068,838570,1838.1309814453125
1722204176.3307061,844966,1828.078369140625
1722204176.3563998,844972,1805.727783203125
1722204201.368262,851368,1802.5811767578125
1722204201.3785381,851370,1800.6407470703125
1722204229.8004682,857770,1791.1856689453125
1722204229.8134813,857772,1803.17138671875
1722204255.3637352,864174,1756.122314453125
1722204255.3667529,864174,1765.39892578125
1722204283.5934315,870576,1714.6943359375
1722204283.5954158,870576,1715.3189697265625
1722204310.1581037,876974,1683.8677978515625
1722204310.177278,876978,1687.35888671875
1722204335.8845522,883372,1699.27587890625
1722204335.9118915,883380,1707.0059814453125
1722204361.8807745,889770,1699.4407958984375
1722204361.9153147,889780,1690.1314697265625
1722204386.8110945,896172,1695.2750244140625
1722204386.8446856,896182,1694.947265625
1722204413.9329052,902574,1731.2889404296875
1722204413.967002,902584,1724.4864501953125
1722204435.6310139,908976,1724.730712890625
1722204435.6545155,908982,1734.07470703125
1722204462.984231,915370,1699.6885986328125
1722204463.0346122,915384,1707.9970703125
1722204489.4842446,921764,1688.8402099609375
1722204489.5614727,921786,1691.4239501953125
1722204513.9923298,928166,1667.568359375
1722204514.0690606,928188,1657.6005859375
1722204542.71809,934568,1672.925048828125
1722204542.781776,934588,1657.257568359375
1722204566.5371816,940970,1711.7628173828125
1722204566.6024868,940990,1722.197998046875
1722204591.7202804,947368,1719.822265625
1722204591.803716,947388,1721.0389404296875
1722204615.7749481,953770,1753.41943359375
1722204615.844941,953790,1748.1932373046875
1722204640.804668,960164,1774.5635986328125
1722204640.9062047,960192,1790.50244140625
1722204662.8492677,966566,1801.5382080078125
1722204662.9515457,966594,1791.603515625
1722204689.6299393,972964,1835.1192626953125
1722204689.7360384,972996,1834.24365234375
1722204716.0990975,979364,1836.0953369140625
1722204716.237629,979400,1857.15283203125
1722204740.4549906,985756,1818.7742919921875
1722204740.6404347,985798,1825.87109375
1722204768.4731333,992158,1787.6859130859375
1722204768.681207,992202,1815.333984375
1722204794.7930768,998558,1808.93115234375
1722204794.9515114,998604,1795.3192138671875
1722204820.8031204,1004960,1805.311767578125
1722204820.9574335,1005006,1821.7332763671875
1722204845.5378304,1011362,1807.9034423828125
1722204845.6976223,1011408,1815.91845703125
1722204872.5217838,1017764,1791.764404296875
1722204872.696765,1017810,1792.821044921875
1722204899.2761092,1024166,1756.6290283203125
1722204899.4097834,1024212,1762.947509765625
1722204923.9482014,1030570,1777.13916015625
1722204924.1450307,1030612,1783.5377197265625
1722204948.6127045,1036972,1798.6121826171875
1722204948.7376533,1037014,1794.8565673828125
1722204970.1341348,1043376,1804.6231689453125
1722204970.2450175,1043408,1796.174560546875
1722204993.8263237,1049776,1795.86328125
1722204993.9478214,1049810,1796.83935546875
1722205016.0478141,1056168,1784.2880859375
1722205016.197735,1056214,1787.076904296875
1722205039.815654,1062570,1805.8251953125
1722205039.9492624,1062612,1805.0677490234375
1722205061.1444309,1068974,1827.0006103515625
1722205061.276004,1069014,1823.9149169921875
1722205083.8794863,1075376,1832.6119384765625
1722205084.0194817,1075418,1834.562744140625
1722205108.55681,1081778,1852.36767578125
1722205108.658086,1081808,1839.5736083984375
1722205131.3722556,1088182,1863.4542236328125
1722205131.4594796,1088210,1858.845947265625
1722205155.002916,1094584,1870.6412353515625
1722205155.0887294,1094610,1882.723876953125
1722205177.9977293,1100988,1888.0802001953125
1722205178.0674837,1101010,1887.1273193359375
1722205202.7706249,1107380,1881.74853515625
1722205202.8709004,1107412,1878.1817626953125
1722205224.8628407,1113782,1894.28662109375
1722205224.9413207,1113804,1896.169189453125
1722205249.3144958,1120184,1874.31982421875
1722205249.3866267,1120206,1877.285400390625
1722205274.0558207,1126576,1898.6591796875
1722205274.1408818,1126606,1906.44189453125
1722205295.377175,1132978,1895.33984375
1722205295.477832,1133010,1900.01318359375
1722205318.8389423,1139382,1911.2451171875
1722205318.9413753,1139414,1897.773193359375
1722205340.5333786,1145784,1946.71044921875
1722205340.6362839,1145816,1944.04443359375
1722205365.7398345,1152184,1984.0224609375
1722205365.8269403,1152210,1976.0936279296875
1722205387.474022,1158586,2012.375
1722205387.5201397,1158600,2006.03955078125
1722205413.3336918,1164988,2038.6229248046875
1722205413.3899875,1165004,2035.1881103515625
1722205437.1995242,1171390,2093.29833984375
1722205437.215468,1171394,2087.413818359375
1722205460.5630345,1177792,2113.5771484375
1722205460.580324,1177796,2114.879638671875
1722205484.5193846,1184192,2115.914306640625
1722205484.5403986,1184198,2128.652099609375
1722205507.0216491,1190596,2120.148193359375
1722205507.0375273,1190600,2125.265625
1722205530.530429,1196990,2110.896728515625
1722205530.5402083,1196992,2113.67333984375
1722205551.896477,1203388,2115.73681640625
1722205551.9115615,1203392,2120.162353515625
1722205575.3444014,1209784,2089.74853515625
1722205575.3845875,1209794,2104.958984375
1722205598.8715227,1216174,2051.603271484375
1722205598.9483078,1216196,2062.324951171875
1722205623.1375034,1222576,2069.620849609375
1722205623.2123387,1222600,2058.35693359375
1722205649.331916,1228978,2082.01171875
1722205649.404915,1229000,2077.470703125
1722205672.3903263,1235382,2099.20361328125
1722205672.431737,1235394,2104.335693359375
1722205696.5200975,1241786,2107.733154296875
1722205696.5310977,1241788,2111.18359375
1722205718.9286172,1248188,2129.31298828125
1722205718.9406435,1248190,2119.1025390625
1722205747.9590883,1254590,2102.9541015625
1722205747.9726155,1254592,2116.86669921875
1722205773.4447534,1260990,2081.03076171875
1722205773.4591756,1260994,2072.4658203125
1722205800.8197784,1267384,2093.872802734375
1722205800.8425748,1267390,2089.897705078125
1722205826.0684927,1273786,2111.6015625
1722205826.1033726,1273794,2127.579833984375
1722205852.8950417,1280184,2132.50439453125
1722205852.916222,1280188,2130.900146484375
1722205879.1418324,1286582,2165.322509765625
1722205879.156335,1286586,2155.123046875
1722205904.3287277,1292978,2178.41259765625
1722205904.365522,1292988,2186.771728515625
1722205930.409197,1299380,2199.74951171875
1722205930.4489484,1299390,2183.839599609375
1722205955.079944,1305784,2209.204833984375
1722205955.1173353,1305792,2212.13818359375
1722205983.557537,1312188,2206.49658203125
1722205983.590752,1312196,2215.523681640625
1722206008.869352,1318584,2218.991455078125
1722206008.9230137,1318598,2217.644287109375
1722206035.867114,1324986,2236.601806640625
1722206035.9221747,1325000,2236.393310546875
1722206063.2329082,1331388,2242.6826171875
1722206063.2790387,1331400,2242.3232421875
1722206088.5046582,1337786,2260.226806640625
1722206088.533762,1337794,2257.218505859375
1722206115.638893,1344178,2254.771728515625
1722206115.6870644,1344192,2255.360107421875
1722206140.6443956,1350580,2261.5673828125
1722206140.6940045,1350594,2274.656494140625
1722206167.6412015,1356976,2276.017333984375
1722206167.696954,1356992,2265.868408203125
1722206191.941693,1363378,2276.152099609375
1722206192.0014675,1363394,2260.408447265625
1722206219.3159866,1369780,2277.531005859375
1722206219.3815064,1369798,2277.73779296875
1722206244.344237,1376178,2280.05615234375
1722206244.4203985,1376200,2282.409423828125
1722206271.5846705,1382582,2275.421142578125
1722206271.6517482,1382600,2278.442138671875
1722206298.205021,1388976,2263.11279296875
1722206298.3038452,1389002,2264.066162109375
1722206324.1396024,1395374,2263.630126953125
1722206324.2428179,1395404,2275.456787109375
1722206352.8096354,1401776,2273.93212890625
1722206352.999883,1401806,2278.08349609375
1722206377.420694,1408178,2296.606689453125
1722206377.513072,1408206,2284.537109375
1722206404.5108125,1414580,2281.268798828125
1722206404.5870044,1414600,2274.267333984375
1722206430.2505686,1420982,2293.446044921875
1722206430.320377,1421000,2299.49755859375
1722206457.6717665,1427384,2302.9892578125
1722206457.7264535,1427398,2300.549072265625
1722206485.712715,1433786,2306.689697265625
1722206485.7663307,1433802,2299.09765625
1722206509.8115659,1440188,2310.9814453125
1722206509.8701558,1440204,2319.8349609375
1722206537.0361776,1446590,2317.2880859375
1722206537.1057234,1446608,2320.6259765625
1722206563.2266307,1452992,2342.7421875
1722206563.2833586,1453006,2340.82861328125
1722206591.2081566,1459394,2348.536865234375
1722206591.276019,1459404,2342.883056640625
1722206618.0876772,1465788,2349.990966796875
1722206618.1519608,1465806,2350.91455078125
1722206647.5433464,1472192,2365.08935546875
1722206647.6067502,1472208,2358.9169921875
1722206673.9846566,1478590,2364.30078125
1722206674.0616772,1478610,2366.56201171875
1722206703.4661603,1484992,2371.65869140625
1722206703.5402126,1485012,2379.153076171875
1722206730.460601,1491394,2395.32861328125
1722206730.5355766,1491416,2399.56884765625
1722206756.2446194,1497798,2405.7529296875
1722206756.3196752,1497820,2409.420166015625
1722206786.0735629,1504194,2405.310546875
1722206786.1720893,1504222,2414.634765625
